Trường đại học,Chương trình đào tạo,Ngành đào tạo,Mã ngành,Chỉ tiêu tuyển sinh,Trình độ đào tạo,Địa điểm đào tạo,Năm tuyển sinh
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Điện tử - Viễn thông,7520207,480,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Y sinh,7520212,80,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),7520207,60,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),7520207,120,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Kỹ thuật Y sinh (CT tiên tiến),7520212,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Hệ thống nhúng thông minh và IoT (CT tiên tiến),7520207,80,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình liên kết ĐH Leibniz Hannover (Đức),Điện tử - Viễn thông,7520207,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Môi trường,7520320,160,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Quản lý Tài nguyên và Môi trường,7850101,120,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Tiếng Anh KHKT và Công nghệ,7220201,210,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Tiếng Anh chuyên nghiệp quốc tế,7220201,90,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Tiếng Trung Khoa học và Công nghệ,7220204,80,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Tiếng Hàn Khoa học và Công nghệ,7220210,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Nhiệt,7520115,250,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,CNTT: Khoa học Máy tính,7480101,300,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,CNTT: Kỹ thuật Máy tính,7480106,200,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Khoa học dữ liệu và Trí tuệ nhân tạo (CT tiên tiến),7460108,160,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,An toàn không gian số - Cyber Security (CT Tiên tiến),7480202,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn (Việt - Nhật),Công nghệ thông tin (Việt - Nhật),7480201,150,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Công nghệ thông tin (Global ICT),7480201,160,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình Việt - Pháp PFIEV,Công nghệ thông tin (Việt - Pháp),7480201,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Cơ điện tử,7520114,280,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Cơ khí,7520103,540,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Kỹ thuật Cơ điện tử (CT tiên tiến),7520114,180,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình liên kết ĐH Griffith (Úc),Cơ khí - Chế tạo máy,7520103,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình liên kết ĐH Leibniz Hannover (Đức),Cơ điện tử,7520114,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình liên kết ĐH Công nghệ Nagaoka (Nhật Bản),Cơ điện tử,7520114,100,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Toán - Tin,7460117,160,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Hệ thống thông tin quản lý,7340405,80,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Khoa học tính toán cho các hệ thống thông minh,7460107,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Vật liệu,7520309,260,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Vi điện tử và Công nghệ nano,7440122,180,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Công nghệ vật liệu Polyme và Compozit,7510402,80,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật in,7520137,60,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Khoa học và kỹ thuật vật liệu (CT tiên tiến),7520309,80,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Vật lý kỹ thuật,7520401,200,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật hạt nhân,7520402,50,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Vật lý Y khoa,7520402,50,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Ô tô,7520130,180,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Cơ khí động lực,7520116,120,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Hàng không,7520120,80,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Kỹ thuật Ô tô (CT tiên tiến),7520130,120,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình Việt - Pháp PFIEV,Cơ khí hàng không,7520120,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình liên kết ĐH Troy (Hoa Kỳ),Khoa học máy tính,7480101,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Công nghệ Dệt - May,7540204,240,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Toán học,QHT01,60,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Toán tin,QHT02,60,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Khoa học máy tính và thông tin (thuộc ngành Khoa học máy tính),QHT98,125,Đại học,"Khu đô thị ĐHQGHN, Hòa Lạc, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Khoa học dữ liệu,QHT93,70,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Vật lý học,QHT03,130,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Khoa học vật liệu,QHT04,100,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Công nghệ bán dẫn (thuộc ngành Khoa học vật liệu),QHT99,140,Đại học,"Khu đô thị ĐHQGHN, Hòa Lạc, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Công nghệ kỹ thuật hạt nhân,QHT05,75,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Kỹ thuật điện tử và tin học (thuộc ngành Kỹ thuật điện tử - viễn thông),QHT94,130,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Hóa học,QHT06,160,Đại học,"Khu đô thị ĐHQGHN, Hòa Lạc, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Công nghệ kỹ thuật hóa học,QHT07,125,Đại học,"Khu đô thị ĐHQGHN, Hòa Lạc, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Hóa dược,QHT43,125,Đại học,"Khu đô thị ĐHQGHN, Hòa Lạc, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Sinh học,QHT08,120,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Công nghệ sinh học,QHT09,190,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Sinh dược học (thuộc ngành Sinh học ứng dụng),QHT81,60,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Địa lý tự nhiên,QHT10,30,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Khoa học thông tin địa không gian (thuộc ngành Kỹ thuật không gian),QHT91,30,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Quản lý đất đai,QHT12,90,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Quản lý phát triển đô thị và bất động sản,QHT95,90,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Khoa học môi trường,QHT13,90,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Công nghệ kỹ thuật môi trường,QHT15,80,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Khoa học và công nghệ thực phẩm (thuộc ngành Công nghệ thực phẩm),QHT96,130,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,"Môi trường, sức khỏe và an toàn (thuộc ngành Bảo hộ lao động)",QHT82,50,Đại học,"Khu đô thị ĐHQGHN, Hòa Lạc, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Khí tượng và khí hậu học,QHT16,40,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Hải dương học,QHT17,25,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Tài nguyên và môi trường nước (thuộc ngành Thủy văn học),QHT92,25,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Địa chất học,QHT18,30,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Tự nhiên - ĐHQGHN,Chương trình chuẩn,Quản lý tài nguyên và môi trường,QHT20,130,Đại học,"334 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Kinh tế (Chuyên ngành Kinh tế học),7310101,120,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Kinh tế (Chuyên ngành Kinh tế và Quản lý công),7310101,120,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Kinh tế (Chuyên ngành Kinh tế số)*,7310101,60,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Kinh tế quốc tế (Chuyên ngành Kinh tế đối ngoại),7310106,123,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,"Toán kinh tế (Chuyên ngành Toán ứng dụng trong Kinh tế, Quản trị và Tài chính)",7310108,65,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiếng Anh,"Toán kinh tế (Chuyên ngành Toán ứng dụng trong Kinh tế, Quản trị và Tài chính) (Tiếng Anh)",7310108,40,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Toán kinh tế (Chuyên ngành Phân tích dữ liệu),7310108,65,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Quản trị kinh doanh (Chuyên ngành Quản trị kinh doanh),7340101,65,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiếng Anh,Quản trị kinh doanh (Chuyên ngành Quản trị kinh doanh) (Tiếng Anh),7340101,45,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Quản trị kinh doanh (Chuyên ngành Quản trị du lịch và lữ hành),7340101,65,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Marketing (Chuyên ngành Marketing),7340115,65,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiếng Anh,Marketing (Chuyên ngành Marketing) (Tiếng Anh),7340115,90,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Marketing (Chuyên ngành Digital Marketing),7340115,65,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Kinh doanh quốc tế,7340120,124,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiếng Anh,Kinh doanh quốc tế (Tiếng Anh),7340120,90,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Kinh doanh quốc tế (Chuyên ngành Quản lý chuỗi cung ứng và Logistics quốc tế),7340120,65,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Thương mại điện tử,7340122,65,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiếng Anh,Thương mại điện tử (Tiếng Anh),7340122,45,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Tài chính - Ngân hàng,7340201,120,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiếng Anh,Tài chính - Ngân hàng (Tiếng Anh),7340201,45,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Công nghệ tài chính,7340205,65,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiếng Anh bán phần,Công nghệ tài chính (Chương trình Co-operative Education) (Tiếng Anh bán phần),7340205,45,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Kế toán,7340301,110,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiếng Anh,Kế toán (Tích hợp chứng chỉ quốc tế ICAEW - Tiếng Anh),7340301,40,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Kế toán (Chuyên ngành Kế toán và phân tích dữ liệu)*,7340301,55,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Kiểm toán,7340302,120,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Quản lý công,7340403,50,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Hệ thống thông tin quản lý (Chuyên ngành Hệ thống thông tin quản lý),7340405,65,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiếng Anh bán phần,Hệ thống thông tin quản lý (Chuyên ngành Hệ thống thông tin quản lý) (Chương trình Co-operative Education) (Tiếng Anh bán phần),7340405,45,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Hệ thống thông tin quản lý (Chuyên ngành Kinh doanh số và Trí tuệ nhân tạo),7340405,65,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Luật (Chuyên ngành Luật Dân sự),7380101,130,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiếng Anh,Luật (Chuyên ngành Luật Dân sự) (Tiếng Anh),7380101,40,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Luật (Chuyên ngành Luật Tài chính - Ngân hàng),7380101,120,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Luật (Chuyên ngành Luật và Chính sách công),7380101,60,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Luật (Chuyên ngành Luật và Công nghệ)*,7380101,64,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Luật kinh tế (Chuyên ngành Luật Kinh doanh),7380107,130,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiêu chuẩn,Luật kinh tế (Chuyên ngành Luật Thương mại quốc tế),7380107,130,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình tiếng Anh,Luật kinh tế (Chuyên ngành Luật Thương mại quốc tế) (Tiếng Anh),7380107,90,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình liên kết quốc tế,Kinh doanh quốc tế,7340120,107,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Kinh tế - Luật - ĐHQG-HCM,Chương trình liên kết quốc tế,Quản trị kinh doanh (Chuyên ngành Marketing),7340101,100,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Báo chí,7320101,160,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Chính trị học,7310201,60,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Công tác xã hội,7760101,55,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,"Lý luận, lịch sử và phê bình điện ảnh, truyền hình (CTĐT Điện ảnh và nghệ thuật đại chúng)",7210231,50,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Đông Nam Á học,7310620,50,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Đông phương học,7310608,100,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Hán Nôm,7220104,30,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Hàn Quốc học,7310614,60,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Khoa học quản lý,7340401,120,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Lịch sử,7229010,80,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Lưu trữ học,7320303,50,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Ngôn ngữ học,7229020,80,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Nhân học,7310302,50,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Nhật Bản học,7310613,50,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Quan hệ công chúng,7320108,200,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Quản lý thông tin,7320205,110,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Quản trị dịch vụ du lịch và lữ hành,7810103,200,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Quản trị khách sạn,7810201,150,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Quản trị văn phòng,7340406,110,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Quốc tế học,7310601,180,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Tâm lý học,7310401,200,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Thông tin - Thư viện,7320201,50,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Tôn giáo học,7229009,50,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Triết học,7229001,50,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Văn hóa học,7229040,55,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,Chương trình chuẩn,Văn học,7229030,120,Đại học,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",2026
